Inserted 5109 records into 'uplinks'.

--- 1. Top 10 devices with highest number of uplinks ---
Device: device-4547, Uplinks: 4
Device: device-4786, Uplinks: 4
Device: device-4604, Uplinks: 4
Device: device-1912, Uplinks: 4
Device: device-1321, Uplinks: 4
Device: device-3413, Uplinks: 4
Device: device-1275, Uplinks: 4
Device: device-1920, Uplinks: 4
Device: device-0626, Uplinks: 4
Device: device-4852, Uplinks: 4

--- 2. Average RSSI and SNR per device (Sorted by lowest RSSI) ---
Device: device-4880, Avg RSSI: -120.00, Avg SNR: 7.57
Gateway: city-strategy, Avg Temp: 41.65, Avg Humidity: 75.69
Gateway: yes-my-their-want, Avg Temp: -6.94, Avg Humidity: 52.13
Gateway: movie-high, Avg Temp: -3.91, Avg Humidity: 89.36
Gateway: summer-none-go-time, Avg Temp: 25.54, Avg Humidity: 33.43
Gateway: almost-yard-far, Avg Temp: 27.77, Avg Humidity: 11.69
Gateway: imagine-cause-me, Avg Temp: 12.04, Avg Humidity: 26.39
Gateway: last-window-them, Avg Temp: 48.50, Avg Humidity: 18.96
Gateway: machine-know-open, Avg Temp: 36.16, Avg Humidity: 38.78
Gateway: great-protect-will, Avg Temp: 37.30, Avg Humidity: 26.81
Gateway: but-late-sell-treat, Avg Temp: -9.11, Avg Humidity: 29.00
Gateway: prove-kid-plan, Avg Temp: 41.47, Avg Humidity: 17.68
Gateway: religious-machine, Avg Temp: 26.70, Avg Humidity: 71.95
Gateway: too-bit-heart, Avg Temp: 36.51, Avg Humidity: 67.20
Gateway: behavior-hospital, Avg Temp: 37.53, Avg Humidity: 13.06
Gateway: officer-fish, Avg Temp: 21.84, Avg Humidity: 31.04
Gateway: glass-chance-by, Avg Temp: 23.82, Avg Humidity: 87.13
Gateway: television-majority, Avg Temp: 17.51, Avg Humidity: 47.92
Gateway: food-indeed-force, Avg Temp: 19.49, Avg Humidity: 55.29
Gateway: professional-send, Avg Temp: 44.19, Avg Humidity: 64.13
Gateway: you-member-against, Avg Temp: 23.40, Avg Humidity: 82.77
Gateway: yourself-material, Avg Temp: 47.37, Avg Humidity: 47.71
Gateway: themselves-magazine, Avg Temp: 39.51, Avg Humidity: 57.67
Gateway: well-international, Avg Temp: 10.74, Avg Humidity: 54.25
Gateway: usually-begin, Avg Temp: -0.65, Avg Humidity: 74.78
Gateway: company-ten-window, Avg Temp: 34.56, Avg Humidity: 67.72
Gateway: pressure-visit-dog, Avg Temp: 21.57, Avg Humidity: 13.93
Gateway: million-no-think, Avg Temp: 12.23, Avg Humidity: 34.87
Gateway: few-area-figure, Avg Temp: 16.27, Avg Humidity: 16.95
Gateway: mouth-join-war-dog, Avg Temp: 45.86, Avg Humidity: 88.38
Gateway: sound-give-control, Avg Temp: 16.07, Avg Humidity: 39.40
Gateway: field-item-help, Avg Temp: 37.62, Avg Humidity: 72.44
Gateway: avoid-run-matter, Avg Temp: 37.36, Avg Humidity: 43.67
Gateway: factor-land, Avg Temp: 42.54, Avg Humidity: 11.25
Gateway: through-compare, Avg Temp: -7.97, Avg Humidity: 65.30
Gateway: material-theory, Avg Temp: 15.16, Avg Humidity: 20.85
Gateway: box-couple-meet, Avg Temp: 3.19, Avg Humidity: 59.73
Gateway: certain-join-better, Avg Temp: 31.80, Avg Humidity: 69.69
Gateway: wait-mean-today, Avg Temp: 29.41, Avg Humidity: 83.73
Gateway: course-successful, Avg Temp: 14.02, Avg Humidity: 81.33
Gateway: specific-few-red, Avg Temp: 20.27, Avg Humidity: 18.91
Gateway: nice-door-effect, Avg Temp: 12.73, Avg Humidity: 50.71
Gateway: thing-society, Avg Temp: 13.37, Avg Humidity: 82.25
Gateway: specific-back, Avg Temp: 45.91, Avg Humidity: 58.15
Gateway: do-republican-list, Avg Temp: 38.08, Avg Humidity: 86.47
Gateway: without-simply, Avg Temp: 33.04, Avg Humidity: 84.13
Gateway: peace-thank-peace, Avg Temp: -3.83, Avg Humidity: 57.76
Gateway: just-together-boy, Avg Temp: 20.87, Avg Humidity: 27.15
Gateway: nothing-book-the-in, Avg Temp: 37.20, Avg Humidity: 63.42
Gateway: public-friend-after, Avg Temp: 42.05, Avg Humidity: 31.32
Gateway: prepare-should, Avg Temp: 5.71, Avg Humidity: 11.85
Gateway: dinner-air-oil, Avg Temp: -7.48, Avg Humidity: 56.20
Gateway: environmental, Avg Temp: 45.23, Avg Humidity: 39.58
Gateway: most-food-positive, Avg Temp: 21.91, Avg Humidity: 68.34
Gateway: ok-role-strong, Avg Temp: -5.17, Avg Humidity: 78.89
Gateway: fact-daughter, Avg Temp: 39.21, Avg Humidity: 62.16
Gateway: short-add-our, Avg Temp: 26.87, Avg Humidity: 44.22
Gateway: conference-while, Avg Temp: 16.21, Avg Humidity: 37.43
Gateway: politics-chair-word, Avg Temp: 14.51, Avg Humidity: 78.81
Gateway: thousand-dinner, Avg Temp: 29.52, Avg Humidity: 13.58
Gateway: think-doctor-change, Avg Temp: 18.76, Avg Humidity: 19.46
Gateway: camera-street-floor, Avg Temp: -1.52, Avg Humidity: 55.57
Gateway: cut-sign-result, Avg Temp: 13.53, Avg Humidity: 79.93
Gateway: wish-music-out, Avg Temp: 12.69, Avg Humidity: 14.49
Gateway: career-sense-likely, Avg Temp: 37.44, Avg Humidity: 18.98
Gateway: animal-degree-over, Avg Temp: -7.66, Avg Humidity: 28.84
Gateway: sometimes-today, Avg Temp: 26.88, Avg Humidity: 47.27
Gateway: trip-alone-my, Avg Temp: 18.11, Avg Humidity: 39.64
Gateway: control-north-stock, Avg Temp: 28.20, Avg Humidity: 39.31
Gateway: more-production, Avg Temp: -3.43, Avg Humidity: 47.26
Gateway: describe-start, Avg Temp: 47.43, Avg Humidity: 20.64
Gateway: deep-sister-arm, Avg Temp: -6.40, Avg Humidity: 72.68
Gateway: management-offer, Avg Temp: 31.93, Avg Humidity: 17.78
Gateway: now-save-us-law, Avg Temp: 34.14, Avg Humidity: 64.85
Gateway: forget-size-teach, Avg Temp: 41.60, Avg Humidity: 19.75
Gateway: drug-friend-skill, Avg Temp: -0.07, Avg Humidity: 78.68
Gateway: key-compare-chair, Avg Temp: 21.33, Avg Humidity: 73.81
Gateway: positive-serve, Avg Temp: 37.50, Avg Humidity: 22.10
Gateway: article-energy, Avg Temp: 35.46, Avg Humidity: 51.66
Gateway: yourself-miss-tv, Avg Temp: 6.07, Avg Humidity: 58.53
Gateway: woman-top-then, Avg Temp: 33.88, Avg Humidity: 64.80
Gateway: to-dinner-hour-with, Avg Temp: -0.78, Avg Humidity: 13.11
Gateway: authority-better, Avg Temp: 5.09, Avg Humidity: 34.45
Gateway: station-gas-minute, Avg Temp: 39.05, Avg Humidity: 40.17
Gateway: religious-determine, Avg Temp: 8.51, Avg Humidity: 16.91
Gateway: vote-expert-center, Avg Temp: 38.93, Avg Humidity: 29.79
Gateway: test-away-draw, Avg Temp: 22.18, Avg Humidity: 31.30
Gateway: single-film-skill, Avg Temp: 48.88, Avg Humidity: 17.99
Gateway: movie-page-general, Avg Temp: 37.58, Avg Humidity: 71.36
Gateway: today-image-produce, Avg Temp: 43.98, Avg Humidity: 27.84
Gateway: break-expect, Avg Temp: 42.94, Avg Humidity: 74.55
Gateway: magazine-grow-all, Avg Temp: 9.61, Avg Humidity: 11.53
Gateway: front-lawyer, Avg Temp: 38.44, Avg Humidity: 40.06
Gateway: performance-so, Avg Temp: 42.87, Avg Humidity: 67.13
Gateway: nice-green, Avg Temp: 0.11, Avg Humidity: 82.68
Gateway: market-upon-board, Avg Temp: 3.29, Avg Humidity: 40.92
Gateway: region-beyond, Avg Temp: 11.02, Avg Humidity: 47.71
Gateway: suffer-sense-make, Avg Temp: -0.19, Avg Humidity: 65.15
Gateway: on-garden-common, Avg Temp: 0.13, Avg Humidity: 26.67
Gateway: your-man-everything, Avg Temp: 9.53, Avg Humidity: 22.93
Gateway: girl-town-process, Avg Temp: 18.65, Avg Humidity: 79.14
Gateway: activity-end-writer, Avg Temp: 6.33, Avg Humidity: 21.01
Gateway: artist-each-officer, Avg Temp: 31.00, Avg Humidity: 11.48
Gateway: strong-certain-fall, Avg Temp: 4.54, Avg Humidity: 23.91
Gateway: begin-close-myself, Avg Temp: 31.33, Avg Humidity: 44.47
Gateway: long-improve, Avg Temp: 25.04, Avg Humidity: 59.77
Gateway: help-family-local, Avg Temp: 39.63, Avg Humidity: 40.69
Gateway: seven-later-despite, Avg Temp: 18.44, Avg Humidity: 70.59
Gateway: lawyer-he-another, Avg Temp: -1.59, Avg Humidity: 71.29
Gateway: evening-beat-task, Avg Temp: 33.16, Avg Humidity: 18.31
Gateway: hot-rule-consumer, Avg Temp: 42.52, Avg Humidity: 22.21
Gateway: after-conference, Avg Temp: -7.08, Avg Humidity: 11.54
Gateway: end-consider, Avg Temp: 38.14, Avg Humidity: 80.61
Gateway: summer-much-local, Avg Temp: 18.42, Avg Humidity: 73.17
Gateway: discuss-entire, Avg Temp: 44.68, Avg Humidity: 16.17
Gateway: film-relate-trade, Avg Temp: -1.06, Avg Humidity: 48.94
Gateway: question-someone, Avg Temp: 42.52, Avg Humidity: 87.31
Gateway: inside-together, Avg Temp: 7.81, Avg Humidity: 59.44
Gateway: artist-his-whole-we, Avg Temp: 15.15, Avg Humidity: 73.45
Gateway: surface-thousand, Avg Temp: 22.27, Avg Humidity: 23.82
Gateway: base-official-adult, Avg Temp: -1.07, Avg Humidity: 32.22
Gateway: pretty-fight-coach, Avg Temp: 13.58, Avg Humidity: 78.39
Gateway: eight-necessary, Avg Temp: 26.24, Avg Humidity: 21.38
Gateway: south-page-daughter, Avg Temp: 47.71, Avg Humidity: 19.55
Gateway: guess-glass-second, Avg Temp: 18.06, Avg Humidity: 38.15
Gateway: because-attorney, Avg Temp: -3.83, Avg Humidity: 80.84
Gateway: others-character, Avg Temp: 31.42, Avg Humidity: 36.87
Gateway: financial-indicate, Avg Temp: 6.13, Avg Humidity: 54.98
Gateway: itself-anyone, Avg Temp: 17.10, Avg Humidity: 26.63
Gateway: save-mother-follow, Avg Temp: 30.56, Avg Humidity: 89.88
Gateway: key-study-standard, Avg Temp: 5.52, Avg Humidity: 28.34
Gateway: cell-dog-than-hot, Avg Temp: 40.83, Avg Humidity: 42.13
Gateway: draw-one-think, Avg Temp: 45.33, Avg Humidity: 44.00
Gateway: lay-clear-six-think, Avg Temp: 30.00, Avg Humidity: 86.09
Gateway: arrive-campaign, Avg Temp: 23.39, Avg Humidity: 89.97
Gateway: both-church-send, Avg Temp: 29.83, Avg Humidity: 44.87
Gateway: myself-who-wide, Avg Temp: -4.61, Avg Humidity: 37.78
Gateway: white-project-break, Avg Temp: 33.54, Avg Humidity: 69.09
Gateway: political-hour, Avg Temp: 43.32, Avg Humidity: 81.26
Gateway: simply-recognize, Avg Temp: 20.64, Avg Humidity: 88.72
Gateway: perform-gun-finally, Avg Temp: 31.89, Avg Humidity: 11.04
Gateway: treatment-name, Avg Temp: 44.20, Avg Humidity: 81.13
Gateway: detail-increase, Avg Temp: 34.96, Avg Humidity: 42.18
Gateway: happy-among-western, Avg Temp: 45.73, Avg Humidity: 35.53
Gateway: fine-meeting, Avg Temp: 27.81, Avg Humidity: 87.24
Gateway: take-mean-face, Avg Temp: 30.94, Avg Humidity: 38.64
Gateway: experience-help, Avg Temp: 46.15, Avg Humidity: 35.61
Gateway: car-arrive-bank, Avg Temp: 46.21, Avg Humidity: 65.95
Gateway: technology-care, Avg Temp: 22.37, Avg Humidity: 36.01
Gateway: six-former-practice, Avg Temp: -3.89, Avg Humidity: 31.01
Gateway: song-gas-school, Avg Temp: -3.24, Avg Humidity: 35.57
Gateway: large-budget-save, Avg Temp: 23.26, Avg Humidity: 88.39
Gateway: she-report-ever-box, Avg Temp: 36.73, Avg Humidity: 72.20
Gateway: capital-tree-spend, Avg Temp: 34.37, Avg Humidity: 45.25
Gateway: happy-experience, Avg Temp: 30.37, Avg Humidity: 83.00
Gateway: smile-individual, Avg Temp: 2.04, Avg Humidity: 54.57
Gateway: power-dinner, Avg Temp: 49.07, Avg Humidity: 72.31
Gateway: system-few-station, Avg Temp: 30.24, Avg Humidity: 11.14
Gateway: own-staff-memory, Avg Temp: 32.90, Avg Humidity: 56.40
Gateway: ask-table, Avg Temp: 48.23, Avg Humidity: 59.19
Gateway: be-half-officer, Avg Temp: 16.32, Avg Humidity: 60.54
Gateway: smile-cold-however, Avg Temp: 26.95, Avg Humidity: 22.71
Gateway: wrong-care-past, Avg Temp: 12.43, Avg Humidity: 45.54
Gateway: worry-white-go-need, Avg Temp: 9.28, Avg Humidity: 66.87
Gateway: edge-necessary, Avg Temp: 29.67, Avg Humidity: 47.26
Gateway: recognize-sure, Avg Temp: -0.17, Avg Humidity: 42.42
Gateway: kind-require, Avg Temp: 42.68, Avg Humidity: 18.90
Gateway: can-name-fund, Avg Temp: 7.59, Avg Humidity: 52.88
Gateway: life-hour-agent, Avg Temp: -8.53, Avg Humidity: 76.35
Gateway: as-receive-provide, Avg Temp: 30.37, Avg Humidity: 36.41
Gateway: message-campaign, Avg Temp: 21.55, Avg Humidity: 58.59
Gateway: degree-news, Avg Temp: 49.55, Avg Humidity: 69.43
Gateway: eight-wrong, Avg Temp: 43.03, Avg Humidity: 50.56
Gateway: food-expert-past, Avg Temp: 45.83, Avg Humidity: 79.47
Gateway: but-rather-third, Avg Temp: 36.46, Avg Humidity: 55.36
Gateway: rather-modern-will, Avg Temp: 9.12, Avg Humidity: 18.03
Gateway: make-participant, Avg Temp: 20.82, Avg Humidity: 18.38
Gateway: study-central-seven, Avg Temp: 37.76, Avg Humidity: 16.36
Gateway: allow-bring-through, Avg Temp: 20.25, Avg Humidity: 88.10
Gateway: central-without, Avg Temp: 0.03, Avg Humidity: 51.79
Gateway: of-magazine-care, Avg Temp: 35.79, Avg Humidity: 16.00
Gateway: summer-bring, Avg Temp: 38.19, Avg Humidity: 68.28
Gateway: maybe-save-must, Avg Temp: 19.02, Avg Humidity: 77.56
Gateway: baby-oil-mother, Avg Temp: -1.58, Avg Humidity: 64.94
Gateway: mr-hear-drive, Avg Temp: 43.52, Avg Humidity: 88.58
Gateway: kitchen-service, Avg Temp: 33.60, Avg Humidity: 42.52
Gateway: center-left-law, Avg Temp: 33.69, Avg Humidity: 62.32
Gateway: approach-ready, Avg Temp: -7.51, Avg Humidity: 73.11
Gateway: table-low-wish, Avg Temp: 31.68, Avg Humidity: 36.38
Gateway: figure-join-near, Avg Temp: 28.08, Avg Humidity: 65.97
Gateway: ground-development, Avg Temp: 19.30, Avg Humidity: 32.19
Gateway: great-require-stop, Avg Temp: 38.89, Avg Humidity: 22.67
Gateway: end-commercial, Avg Temp: 15.01, Avg Humidity: 81.25
Gateway: join-this, Avg Temp: 40.96, Avg Humidity: 84.41
Gateway: structure-specific, Avg Temp: 4.69, Avg Humidity: 57.24
Gateway: voice-attention, Avg Temp: 28.24, Avg Humidity: 50.31
Gateway: congress-child, Avg Temp: 26.86, Avg Humidity: 18.75
Gateway: understand-with, Avg Temp: 33.63, Avg Humidity: 81.50
Gateway: situation-hard, Avg Temp: 3.74, Avg Humidity: 74.90
Gateway: him-race-glass, Avg Temp: -3.20, Avg Humidity: 84.94
Gateway: imagine-themselves, Avg Temp: 25.69, Avg Humidity: 86.57
Gateway: situation-light, Avg Temp: 47.37, Avg Humidity: 20.44
Gateway: senior-election, Avg Temp: 41.94, Avg Humidity: 44.41
Gateway: develop-film-hear, Avg Temp: 29.94, Avg Humidity: 60.11
Gateway: tonight-meet-hotel, Avg Temp: 42.08, Avg Humidity: 14.12
Gateway: set-owner-light, Avg Temp: 2.82, Avg Humidity: 10.09
Gateway: serve-keep-imagine, Avg Temp: 27.04, Avg Humidity: 89.45
Gateway: chair-political, Avg Temp: 21.74, Avg Humidity: 39.58
Gateway: far-throughout, Avg Temp: 35.04, Avg Humidity: 28.15
Gateway: fund-toward, Avg Temp: 10.43, Avg Humidity: 10.17
Gateway: already-as-learn, Avg Temp: -8.88, Avg Humidity: 21.19
Gateway: structure-success, Avg Temp: -0.10, Avg Humidity: 84.08
Gateway: those-must-practice, Avg Temp: -4.60, Avg Humidity: 83.58
Gateway: all-end-country, Avg Temp: 48.37, Avg Humidity: 64.83
Gateway: why-quickly, Avg Temp: 16.38, Avg Humidity: 34.55
Gateway: soon-international, Avg Temp: 34.04, Avg Humidity: 54.11
Gateway: blood-foreign-ok, Avg Temp: 21.87, Avg Humidity: 78.57
Gateway: since-sport-fact, Avg Temp: 41.16, Avg Humidity: 84.70
Gateway: whole-kitchen, Avg Temp: 0.69, Avg Humidity: 52.62
Gateway: quite-nothing, Avg Temp: -3.26, Avg Humidity: 73.00
Gateway: possible-both, Avg Temp: -4.81, Avg Humidity: 12.65
Gateway: talk-long-story, Avg Temp: -6.48, Avg Humidity: 27.40
Gateway: voice-film-family, Avg Temp: 37.92, Avg Humidity: 22.25
Gateway: girl-almost-main, Avg Temp: -9.20, Avg Humidity: 25.26
Gateway: here-first-plant, Avg Temp: 9.21, Avg Humidity: 64.56
Gateway: among-prepare-learn, Avg Temp: 23.61, Avg Humidity: 51.06
Gateway: question-discuss, Avg Temp: 27.24, Avg Humidity: 35.25
Gateway: right-practice, Avg Temp: 11.70, Avg Humidity: 23.97
Gateway: audience-indicate, Avg Temp: 13.65, Avg Humidity: 53.84
Gateway: social-side-care, Avg Temp: 43.58, Avg Humidity: 49.10
Gateway: war-a-less-debate, Avg Temp: 7.23, Avg Humidity: 43.32
Gateway: write-public, Avg Temp: -6.78, Avg Humidity: 51.88
Gateway: cultural-instead, Avg Temp: 46.44, Avg Humidity: 44.46
Gateway: history-themselves, Avg Temp: 14.48, Avg Humidity: 40.10
Gateway: coach-by-chance, Avg Temp: -4.56, Avg Humidity: 25.40
Gateway: professional, Avg Temp: 0.86, Avg Humidity: 64.90
Gateway: mrs-up-especially, Avg Temp: -8.23, Avg Humidity: 27.67
Gateway: today-western, Avg Temp: -8.22, Avg Humidity: 76.02
Gateway: explain-fire-more, Avg Temp: 32.75, Avg Humidity: 82.87
Gateway: take-any-indeed, Avg Temp: 3.38, Avg Humidity: 41.82
Gateway: congress-building, Avg Temp: 32.51, Avg Humidity: 40.71
Gateway: anyone-market, Avg Temp: -8.63, Avg Humidity: 56.96
Gateway: away-site-short, Avg Temp: 6.16, Avg Humidity: 85.84
Gateway: wind-special, Avg Temp: 48.72, Avg Humidity: 28.70
Gateway: political-town, Avg Temp: 9.96, Avg Humidity: 48.98
Gateway: about-fire-director, Avg Temp: 20.28, Avg Humidity: 40.17
Gateway: though-fact-cold, Avg Temp: 49.78, Avg Humidity: 85.07
Gateway: gas-certainly-tree, Avg Temp: 32.52, Avg Humidity: 49.90
Gateway: likely-action, Avg Temp: -1.03, Avg Humidity: 38.81
Gateway: call-structure, Avg Temp: 35.40, Avg Humidity: 88.03
Gateway: help-see-treatment, Avg Temp: 17.96, Avg Humidity: 32.38
Gateway: important-good, Avg Temp: 26.70, Avg Humidity: 35.43
Gateway: them-away-short, Avg Temp: -2.49, Avg Humidity: 67.87
Gateway: factor-increase, Avg Temp: 42.05, Avg Humidity: 87.18
Gateway: since-him-light, Avg Temp: 33.34, Avg Humidity: 42.62
Gateway: so-discover, Avg Temp: 14.16, Avg Humidity: 10.95
Gateway: structure-assume, Avg Temp: 45.75, Avg Humidity: 44.43
Gateway: final-time-fill, Avg Temp: 13.90, Avg Humidity: 43.23
Gateway: any-doctor-manager, Avg Temp: 23.92, Avg Humidity: 83.06
Gateway: her-station-five, Avg Temp: 1.24, Avg Humidity: 38.14
Gateway: clear-own-various, Avg Temp: 10.61, Avg Humidity: 46.20
Gateway: man-get-someone, Avg Temp: 19.82, Avg Humidity: 75.92
Gateway: understand-lot-nor, Avg Temp: 0.55, Avg Humidity: 66.16
Gateway: suggest-chance, Avg Temp: -4.65, Avg Humidity: 17.53
Gateway: news-spring-office, Avg Temp: -6.03, Avg Humidity: 60.77
Gateway: sound-during-often, Avg Temp: -5.94, Avg Humidity: 43.90
Gateway: charge-understand, Avg Temp: -7.68, Avg Humidity: 51.04
Gateway: where-dinner-black, Avg Temp: 26.01, Avg Humidity: 46.09
Gateway: sea-friend-then-sea, Avg Temp: 25.54, Avg Humidity: 29.73
Gateway: garden-be-important, Avg Temp: 21.55, Avg Humidity: 42.29
Gateway: check-way-professor, Avg Temp: 9.41, Avg Humidity: 60.00
Gateway: attack-offer-there, Avg Temp: 35.64, Avg Humidity: 49.38
Gateway: school-article-ten, Avg Temp: 8.52, Avg Humidity: 34.25
Gateway: simply-certain-and, Avg Temp: 38.91, Avg Humidity: 45.79
Gateway: list-structure-live, Avg Temp: 29.56, Avg Humidity: 56.30
Gateway: already-trip-course, Avg Temp: 40.10, Avg Humidity: 63.58
Gateway: culture-now-it-ask, Avg Temp: 14.41, Avg Humidity: 70.98
Gateway: suggest-on-article, Avg Temp: 24.11, Avg Humidity: 45.04
Gateway: always-police, Avg Temp: 49.35, Avg Humidity: 73.66
Gateway: body-score-law-list, Avg Temp: 39.06, Avg Humidity: 88.84
Gateway: growth-main, Avg Temp: 34.64, Avg Humidity: 69.39
Gateway: can-difference, Avg Temp: -3.59, Avg Humidity: 77.99
Gateway: them-receive-game, Avg Temp: 16.66, Avg Humidity: 54.76
Gateway: family-ball-health, Avg Temp: 21.44, Avg Humidity: 76.97
Gateway: old-team-beat-movie, Avg Temp: 46.84, Avg Humidity: 60.61
Gateway: news-onto-show-town, Avg Temp: 48.18, Avg Humidity: 59.28
Gateway: coach-have-push-by, Avg Temp: 23.14, Avg Humidity: 24.68
Gateway: face-performance, Avg Temp: 33.09, Avg Humidity: 63.43
Gateway: play-war-upon-woman, Avg Temp: 5.92, Avg Humidity: 55.50
Gateway: than-apply, Avg Temp: 8.48, Avg Humidity: 26.35
Gateway: democrat-national, Avg Temp: 38.84, Avg Humidity: 75.25
Gateway: standard-task, Avg Temp: 27.78, Avg Humidity: 53.72
Gateway: fight-since, Avg Temp: 26.47, Avg Humidity: 85.06
Gateway: man-church-enjoy, Avg Temp: -4.75, Avg Humidity: 38.09
Gateway: bring-pull-work, Avg Temp: 21.78, Avg Humidity: 23.34
Gateway: other-group-write, Avg Temp: 33.83, Avg Humidity: 85.09
Gateway: data-always-whom, Avg Temp: 37.75, Avg Humidity: 57.89
Gateway: end-almost-guy, Avg Temp: 19.19, Avg Humidity: 38.14
Gateway: push-technology, Avg Temp: 19.45, Avg Humidity: 69.00
Gateway: quite-that-may, Avg Temp: 46.92, Avg Humidity: 18.77
Gateway: want-popular-plan, Avg Temp: 13.39, Avg Humidity: 52.20
Gateway: deal-walk-life, Avg Temp: 16.39, Avg Humidity: 53.63
Gateway: newspaper-bill-give, Avg Temp: 31.34, Avg Humidity: 78.97
Gateway: try-describe-course, Avg Temp: 4.03, Avg Humidity: 65.22
Gateway: church-rich, Avg Temp: 45.02, Avg Humidity: 29.16
Gateway: itself-find-product, Avg Temp: 31.75, Avg Humidity: 70.22
Gateway: enjoy-large-through, Avg Temp: 1.14, Avg Humidity: 53.81
Gateway: between-sign-media, Avg Temp: 7.30, Avg Humidity: 78.35
Gateway: brother-home-fly, Avg Temp: 44.13, Avg Humidity: 64.64
Gateway: case-case-leader, Avg Temp: 7.22, Avg Humidity: 15.32
Gateway: always-direction, Avg Temp: 33.26, Avg Humidity: 53.54
Gateway: quality-good-stop, Avg Temp: -6.43, Avg Humidity: 43.40
Gateway: reflect-skin-series, Avg Temp: -7.80, Avg Humidity: 56.35
Gateway: decide-camera-now, Avg Temp: 32.89, Avg Humidity: 77.33
Gateway: industry-short, Avg Temp: 37.56, Avg Humidity: 61.70
Gateway: environment-camera, Avg Temp: 36.78, Avg Humidity: 50.14
Gateway: because-least, Avg Temp: -7.00, Avg Humidity: 61.82
Gateway: campaign-since, Avg Temp: 12.39, Avg Humidity: 76.95
Gateway: affect-though-woman, Avg Temp: 21.09, Avg Humidity: 42.56
Gateway: law-effect-wish, Avg Temp: 3.71, Avg Humidity: 65.78
Gateway: man-particularly, Avg Temp: 29.42, Avg Humidity: 44.76
Gateway: stop-hotel-your, Avg Temp: -0.75, Avg Humidity: 59.44
Gateway: go-become-not-may, Avg Temp: 43.40, Avg Humidity: 18.71
Gateway: from-design-mother, Avg Temp: 40.19, Avg Humidity: 48.92
Gateway: party-whose, Avg Temp: 8.42, Avg Humidity: 82.18
Gateway: across-poor-game, Avg Temp: 17.45, Avg Humidity: 87.66
Gateway: show-major-part, Avg Temp: 16.44, Avg Humidity: 68.47
Gateway: apply-mind, Avg Temp: 30.39, Avg Humidity: 82.26
Gateway: mother-election, Avg Temp: 39.09, Avg Humidity: 62.75
Gateway: risk-hope-that, Avg Temp: 15.33, Avg Humidity: 68.65
Gateway: quite-whole, Avg Temp: 17.76, Avg Humidity: 25.01
Gateway: little-everybody, Avg Temp: -2.04, Avg Humidity: 70.51
Gateway: tax-occur-high, Avg Temp: 4.92, Avg Humidity: 82.54
Gateway: main-course-hit, Avg Temp: 31.24, Avg Humidity: 75.99
Gateway: out-radio-together, Avg Temp: 23.49, Avg Humidity: 51.58
Gateway: rock-situation, Avg Temp: 27.54, Avg Humidity: 80.06
Gateway: onto-wife-huge-few, Avg Temp: 30.83, Avg Humidity: 73.41
Gateway: detail-color-though, Avg Temp: 49.56, Avg Humidity: 76.24
Gateway: any-operation-eye, Avg Temp: 38.10, Avg Humidity: 71.50
Gateway: pull-mrs-happen, Avg Temp: 38.30, Avg Humidity: 44.29
Gateway: program-body-smile, Avg Temp: 43.61, Avg Humidity: 70.46
Gateway: music-another, Avg Temp: 1.21, Avg Humidity: 12.33
Gateway: medical-present, Avg Temp: 25.34, Avg Humidity: 46.71
Gateway: though-relate-treat, Avg Temp: 44.14, Avg Humidity: 64.31
Gateway: like-yet-well, Avg Temp: 45.06, Avg Humidity: 55.51
Gateway: glass-author-now, Avg Temp: 25.00, Avg Humidity: 44.60
Gateway: mouth-water-night, Avg Temp: 12.85, Avg Humidity: 35.50
Gateway: road-ok-avoid, Avg Temp: -3.51, Avg Humidity: 83.93
Gateway: notice-property, Avg Temp: 28.16, Avg Humidity: 36.07
Gateway: catch-green-put, Avg Temp: 6.56, Avg Humidity: 85.91
Gateway: another-ahead, Avg Temp: 12.01, Avg Humidity: 19.75
Gateway: close-force-minute, Avg Temp: 35.22, Avg Humidity: 86.06
Gateway: century-do-father, Avg Temp: 29.08, Avg Humidity: 61.96
Gateway: build-ago-approach, Avg Temp: -0.75, Avg Humidity: 39.17
Gateway: student-manage, Avg Temp: -6.54, Avg Humidity: 51.95
Gateway: stuff-scientist, Avg Temp: 19.17, Avg Humidity: 60.99
Gateway: while-sense-air, Avg Temp: -8.20, Avg Humidity: 65.23
Gateway: minute-before, Avg Temp: 0.10, Avg Humidity: 63.40
Gateway: sometimes-move, Avg Temp: -9.94, Avg Humidity: 37.67
Gateway: thousand-include, Avg Temp: 27.23, Avg Humidity: 43.90
Gateway: figure-no-suffer, Avg Temp: 19.78, Avg Humidity: 56.59
Gateway: enter-perhaps-low, Avg Temp: 42.73, Avg Humidity: 57.17
Gateway: power-identify, Avg Temp: -9.23, Avg Humidity: 24.24
Gateway: exactly-mention, Avg Temp: 15.92, Avg Humidity: 62.52
Gateway: this-down-home-find, Avg Temp: 5.15, Avg Humidity: 37.13
Gateway: certain-decade, Avg Temp: 28.52, Avg Humidity: 66.78
Gateway: parent-which-street, Avg Temp: 10.96, Avg Humidity: 56.26
Gateway: million-hour-class, Avg Temp: 42.99, Avg Humidity: 34.04
Gateway: gun-across, Avg Temp: 13.32, Avg Humidity: 62.91
Gateway: government-body, Avg Temp: 27.75, Avg Humidity: 32.71
Gateway: represent-quality, Avg Temp: 21.88, Avg Humidity: 77.46
Gateway: hold-occur-turn, Avg Temp: 1.01, Avg Humidity: 69.90
